Description,Down-regulated SIV.Early ART During ART,Down-regulated SIV.Early ART Early ATI,Down-regulated SIV.Late ART Early ATI,Up-regulated SIV.Early ART During ART,Up-regulated SIV.Early ART Early ATI,Up-regulated SIV.Late ART Early ATI
REACTOME_CELL_CYCLE_CHECKPOINTS,0,0,0,1,1,1
REACTOME_CELL_CYCLE_MITOTIC,0,0,0,1,1,1
REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS,1,1,1,0,0,0
REACTOME_CELL_JUNCTION_ORGANIZATION,1,1,1,0,0,0
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,1,1,1,0,0,0
REACTOME_CHAPERONE_MEDIATED_AUTOPHAGY,0,0,1,0,0,0
REACTOME_CHK1_CHK2_CDS1_MEDIATED_INACTIVATION_OF_CYCLIN_B_CDK1_COMPLEX,0,0,0,0,0,1
REACTOME_CHOLESTEROL_BIOSYNTHESIS,0,0,0,1,1,1
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE,0,0,0,1,1,1
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION,0,0,0,1,1,1
REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS,0,0,0,0,1,1
REACTOME_CLEC7A_DECTIN_1_SIGNALING,0,0,0,1,1,1
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES,1,1,1,0,0,0
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION,1,1,1,0,0,0
REACTOME_COLLAGEN_DEGRADATION,1,1,0,0,0,0
REACTOME_COLLAGEN_FORMATION,1,1,1,0,0,0
REACTOME_COMPLEMENT_CASCADE,1,1,1,0,0,0
REACTOME_COMPLEX_I_BIOGENESIS,0,1,1,1,1,1
REACTOME_CONSTITUTIVE_SIGNALING_BY_OVEREXPRESSED_ERBB2,0,0,0,0,0,1
REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE,0,0,0,0,0,1
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING,0,0,0,1,1,0
REACTOME_COPII_MEDIATED_VESICLE_TRANSPORT,0,0,0,1,1,1
REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC,0,0,0,1,1,1
REACTOME_COPI_INDEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC,1,0,0,0,0,0
REACTOME_COPI_MEDIATED_ANTEROGRADE_TRANSPORT,1,0,0,1,1,1
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS,1,0,0,0,0,0
REACTOME_CRISTAE_FORMATION,0,0,0,1,1,0
REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS,1,1,0,0,0,0
REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES,0,0,0,1,1,1
REACTOME_CYCLIN_A_CDK2_ASSOCIATED_EVENTS_AT_S_PHASE_ENTRY,0,0,0,1,1,1
REACTOME_CYTOPROTECTION_BY_HMOX1,0,0,0,1,1,1
REACTOME_CYTOSOLIC_IRON_SULFUR_CLUSTER_ASSEMBLY,0,0,0,1,0,0
REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION,0,0,0,1,1,1
REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS,0,0,0,1,1,1
REACTOME_DEADENYLATION_DEPENDENT_MRNA_DECAY,0,0,0,1,1,1
REACTOME_DEADENYLATION_OF_MRNA,0,0,0,1,1,1
REACTOME_DEATH_RECEPTOR_SIGNALLING,0,0,0,0,1,1
